checkpoint_path,checkpoint_sha256,checkpoint_step,max_abs_action_diff_correct_mismatched,max_abs_action_diff_correct_zero,mean_abs_action_diff_correct_mismatched,mean_abs_action_diff_correct_zero,mismatched_sequence,sequence,sequence_group,sequence_name
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.16433903574943542,1.461452841758728,0.05346740782260895,0.6351878643035889,73,72,anchor,anchor_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.05217353627085686,1.474968671798706,0.016109155490994453,0.6390382647514343,74,73,anchor,anchor_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.03993195295333862,1.4842164516448975,0.00824152585119009,0.648871898651123,75,74,anchor,anchor_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.11129814386367798,1.4767427444458008,0.03510123863816261,0.6520406007766724,76,75,anchor,anchor_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.17420488595962524,1.4653364419937134,0.06420553475618362,0.6210584044456482,72,76,anchor,anchor_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.1643294245004654,1.4617270231246948,0.05358343943953514,0.6351011395454407,73-72,72-73,transition,transition_72_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,1.4749109745025635,0.0,0.6390244364738464,73-74,73-72,transition,transition_73_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.052153948694467545,1.4749109745025635,0.016128599643707275,0.6390244364738464,74-73,73-74,transition,transition_73_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,1.4841861724853516,0.0,0.648869514465332,74-75,74-73,transition,transition_74_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.040088869631290436,1.4841861724853516,0.008262625895440578,0.648869514465332,75-74,74-75,transition,transition_74_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.0,1.476700782775879,0.0,0.6520519256591797,75-76,75-74,transition,transition_75_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.1115516647696495,1.476700782775879,0.03512077033519745,0.6520519256591797,76-75,75-76,transition,transition_75_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_10000_steps.pt,ff597a782087c22107d69f99ad8a0a0656a7b4fd7f29e0dcf9ea00353abfbd40,10000,0.17420655488967896,1.4653372764587402,0.06427256762981415,0.6210519075393677,72-73,76-75,transition,transition_76_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.5068913698196411,1.9366121292114258,0.569439172744751,0.9279163479804993,73,72,anchor,anchor_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.309861660003662,1.6435706615447998,0.4193253219127655,0.7480612397193909,74,73,anchor,anchor_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,0.7048008441925049,1.8964266777038574,0.2551025152206421,0.773251473903656,75,74,anchor,anchor_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.6724706888198853,1.6935720443725586,0.7660936713218689,0.7537567615509033,76,75,anchor,anchor_75
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.940662145614624,1.8509795665740967,0.6436773538589478,0.8473678827285767,72,76,anchor,anchor_76
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.506615161895752,1.9365394115447998,0.5693539381027222,0.9279983639717102,73-72,72-73,transition,transition_72_73
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,0.0,1.6437208652496338,0.0,0.7480830550193787,73-74,73-72,transition,transition_73_72
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,1.310743808746338,1.6437208652496338,0.41939684748649597,0.7480830550193787,74-73,73-74,transition,transition_73_74
/workspace/experiments/pipeline2_direct_audio/pipeline2_direct_audio_droq_v1_seed13_1m_retry1/lightweight_checkpoints/checkpoint_25000_steps.pt,c36f60d6dc5510124d057126b745737538336f0083cf599fde32aa54f61b6ef4,25000,0.0,1.8965365886688232,0.0,0.7733350396156311,74-75,74-73,transition,transition_74_73
